path,url,title,type,language,indexable,in_sitemap,in_content_index,in_ai_sitemap,in_llms,redirect_source
/,https://www.ewastekochi.com/,"E-Waste Recycling Kochi | Free Pickup for Electronics, Batteries & IT Scrap",core,en-IN,true,true,true,true,true,true
/about/,https://www.ewastekochi.com/about/,About Ewaste Kochi | E-Waste Recycling & ITAD in Kerala,core,en-IN,true,true,true,true,true,false
/battery-recycling/,https://www.ewastekochi.com/battery-recycling/,"Battery Recycling in Kochi | UPS, Inverter & Lithium Pickup",service,en-IN,true,true,true,true,true,false
/blog/,https://www.ewastekochi.com/blog/,"E-Waste Recycling Blog Kochi | Pickup, Scrap Price, Battery & ITAD Guides",blog,en-IN,true,true,true,true,true,false
/blog/ac-scrap-price-kerala/,https://www.ewastekochi.com/blog/ac-scrap-price-kerala/,AC Scrap Price Kerala | Ewaste Kochi Indexed Guide,blog,en-IN,true,true,true,true,false,false
/blog/affordable-it-asset-disposition-in-kalamassery-complete-pricing-kalamassery/,https://www.ewastekochi.com/blog/affordable-it-asset-disposition-in-kalamassery-complete-pricing-kalamassery/,Affordable IT Asset Disposition IN Kalamassery Complete Pricing Kalamassery | Ewaste Kochi Indexed Guide,blog,en-IN,true,true,true,true,false,false
/blog/battery-disposal-india/,https://www.ewastekochi.com/blog/battery-disposal-india/,Battery Disposal India | Ewaste Kochi Indexed Guide,blog,en-IN,true,true,true,true,false,false
/blog/battery-disposal-safety-checklist-kochi/,https://www.ewastekochi.com/blog/battery-disposal-safety-checklist-kochi/,Battery Disposal Safety Checklist Kochi | Ewaste Kochi Indexed Guide,blog,en-IN,true,true,true,true,false,false
/blog/battery-recycling-during-monsoon-kochi/,https://www.ewastekochi.com/blog/battery-recycling-during-monsoon-kochi/,Battery Recycling During Monsoon Kochi | Ewaste Kochi Indexed Guide,blog,en-IN,true,true,true,true,false,false
/blog/battery-recycling-near-me-kochi/,https://www.ewastekochi.com/blog/battery-recycling-near-me-kochi/,"Battery Recycling Near Me in Kochi | Safe UPS, Inverter & Lithium Battery Guide",blog,en-IN,true,true,true,true,true,false
/blog/battery-recycling-options-in-kochi-which-to-choose-kochi/,https://www.ewastekochi.com/blog/battery-recycling-options-in-kochi-which-to-choose-kochi/,Battery Recycling Options IN Kochi Which TO Choose Kochi | Ewaste Kochi Indexed Guide,blog,en-IN,true,true,true,true,false,false
