normalized_url,canonical_url,source,host,page_type,location,service_intent,clicks,impressions,indexed_status,current_v2_status,target_url,notes
/,https://www.ewastekochi.com/,gsc-url-protection-map;gsc-url-protection-map;manual-high-intent-list,www.ewastekochi.com,core,,,0,0,noindex,manual-high-intent,,Homepage from top GSC pages
/about.html,https://www.ewastekochi.com/about.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,9,crawled_not_indexed,leave_404,,classification_source=rule
/about/,https://www.ewastekochi.com/about/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,about,6,152,redirect,keep_200,https://www.ewastekochi.com/about/,classification_source=v2-live;confirmed_indexed_2026-07-10
/battery-recycling-near-me/,https://www.ewastekochi.com/battery-recycling-near-me/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,battery-recycling-near-me,0,0,404,leave_404,,classification_source=rule
/battery-recycling/,https://www.ewastekochi.com/battery-recycling/,gsc-indexed-url-upgrade-map;gsc-url-protection-map;manual-high-intent-list,www.ewastekochi.com,service,,battery-recycling,31,1524,indexed-with-traffic,manual-high-intent,https://www.ewastekochi.com/battery-recycling/,Top GSC battery service page
/blog.ewastekochi.com,https://www.ewastekochi.com/blog.ewastekochi.com,gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,,0,18,alt_canonical,manual_review,,classification_source=rule
/blog.ewastekochi.com/,https://www.ewastekochi.com/blog.ewastekochi.com/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
/blog.ewastekochi.com/about/,https://www.ewastekochi.com/blog.ewastekochi.com/about/,gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,about,0,0,alt_canonical,manual_review,,classification_source=rule
/blog.ewastekochi.com/article/ai-revolutionising-device-recycling/,https://www.ewastekochi.com/blog.ewastekochi.com/article/ai-revolutionising-device-recycling/,gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,ai-revolutionising-device-recycling,0,0,alt_canonical,manual_review,,classification_source=rule
/blog.ewastekochi.com/article/kalamassery-ewaste-wetland-threat/,https://www.ewastekochi.com/blog.ewastekochi.com/article/kalamassery-ewaste-wetland-threat/,gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,kalamassery-ewaste-wetland-threat,0,0,alt_canonical,manual_review,,classification_source=rule
/blog.ewastekochi.com/article/kochi-school-lab-cleanout/,https://www.ewastekochi.com/blog.ewastekochi.com/article/kochi-school-lab-cleanout/,gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,kochi-school-lab-cleanout,0,0,alt_canonical,manual_review,,classification_source=rule
/blog.ewastekochi.com/article/recycled-smartphone-gold-yields/,https://www.ewastekochi.com/blog.ewastekochi.com/article/recycled-smartphone-gold-yields/,gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,recycled-smartphone-gold-yields,0,0,alt_canonical,manual_review,,classification_source=rule
/blog.ewastekochi.com/battery-disposal-safety-checklist/,https://www.ewastekochi.com/blog.ewastekochi.com/battery-disposal-safety-checklist/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,battery-disposal-safety-checklist,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
/blog.ewastekochi.com/contact/,https://www.ewastekochi.com/blog.ewastekochi.com/contact/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,contact,0,0,alt_canonical,manual_review,,classification_source=rule;confirmed_indexed_2026-07-10
/blog.ewastekochi.com/corporate-ewaste-disposal-kochi/,https://www.ewastekochi.com/blog.ewastekochi.com/corporate-ewaste-disposal-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,corporate-ewaste-disposal-kochi,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
/blog.ewastekochi.com/data-security-disposal-checklist/,https://www.ewastekochi.com/blog.ewastekochi.com/data-security-disposal-checklist/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,data-security-disposal-checklist,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
/blog.ewastekochi.com/e-waste-collection-near-me/,https://www.ewastekochi.com/blog.ewastekochi.com/e-waste-collection-near-me/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,e-waste-collection-near-me,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
/blog.ewastekochi.com/e-waste-pickup-checklist-kochi/,https://www.ewastekochi.com/blog.ewastekochi.com/e-waste-pickup-checklist-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,e-waste-pickup-checklist-kochi,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
/blog.ewastekochi.com/e-waste-recycler-audit-checklist/,https://www.ewastekochi.com/blog.ewastekochi.com/e-waste-recycler-audit-checklist/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,blog.ewastekochi.com,subdomain-blog,,e-waste-recycler-audit-checklist,0,0,indexed,manual_review,,classification_source=indexed-pages-crosscheck-2026-07-10
