source_url,source_path,indexed_path,host,clicks,impressions,page_type,location,service_intent,target_url,redirect_required,redirect_configured,reason,priority
https://www.ewastekochi.com/locations/edappally/certificate-of-destruction-kochi,/locations/edappally/certificate-of-destruction-kochi/,/locations/edappally/certificate-of-destruction-kochi,www.ewastekochi.com,0,1,location-service-matrix,edappally,certificate-of-destruction-kochi,https://www.ewastekochi.com/data-destruction-certificate-sample/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/thrikkakara/data-destruction-kochi,/locations/thrikkakara/data-destruction-kochi/,/locations/thrikkakara/data-destruction-kochi,www.ewastekochi.com,0,6,location-service-matrix,thrikkakara,data-destruction-kochi,https://www.ewastekochi.com/data-destruction/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kozhikode/e-waste-recycling-kochi,/locations/kozhikode/e-waste-recycling-kochi/,/locations/kozhikode/e-waste-recycling-kochi,www.ewastekochi.com,1,26,location-service-matrix,kozhikode,e-waste-recycling-kochi,https://www.ewastekochi.com/recycling/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,high
https://www.ewastekochi.com/locations/thrissur/it-asset-inventory-audit,/locations/thrissur/it-asset-inventory-audit/,/locations/thrissur/it-asset-inventory-audit,www.ewastekochi.com,0,1,location-service-matrix,thrissur,it-asset-inventory-audit,https://www.ewastekochi.com/services/it-asset-inventory-audit/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kalamassery-hitech-park,/locations/kalamassery-hitech-park,/locations/kalamassery-hitech-park,www.ewastekochi.com,0,43,location-page,kalamassery-hitech-park,kalamassery-hitech-park,https://www.ewastekochi.com/locations/kalamassery/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,medium
https://www.ewastekochi.com/locations/maradu/hard-drive-shredding-kochi,/locations/maradu/hard-drive-shredding-kochi/,/locations/maradu/hard-drive-shredding-kochi,www.ewastekochi.com,0,4,location-service-matrix,maradu,hard-drive-shredding-kochi,https://www.ewastekochi.com/hard-drive-shredding/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kakkanad/dpdp-act-compliance-kochi,/locations/kakkanad/dpdp-act-compliance-kochi/,/locations/kakkanad/dpdp-act-compliance-kochi,www.ewastekochi.com,0,1,location-service-matrix,kakkanad,dpdp-act-compliance-kochi,https://www.ewastekochi.com/locations/kakkanad/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/ml/services/tv-monitor-recycling-kochi,/ml/services/tv-monitor-recycling-kochi,/ml/services/tv-monitor-recycling-kochi,www.ewastekochi.com,9,137,other-legacy-service,,tv-monitor-recycling-kochi,https://www.ewastekochi.com/tv-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,high
https://www.ewastekochi.com/locations/kozhikode/server-recycling-kochi,/locations/kozhikode/server-recycling-kochi/,/locations/kozhikode/server-recycling-kochi,www.ewastekochi.com,0,1,location-service-matrix,kozhikode,server-recycling-kochi,https://www.ewastekochi.com/server-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/perumbavoor/tv-monitor-recycling-kochi,/locations/perumbavoor/tv-monitor-recycling-kochi/,/locations/perumbavoor/tv-monitor-recycling-kochi,www.ewastekochi.com,0,1,location-service-matrix,perumbavoor,tv-monitor-recycling-kochi,https://www.ewastekochi.com/tv-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/palakkad/hard-drive-degaussing-kochi,/locations/palakkad/hard-drive-degaussing-kochi/,/locations/palakkad/hard-drive-degaussing-kochi,www.ewastekochi.com,0,1,location-service-matrix,palakkad,hard-drive-degaussing-kochi,https://www.ewastekochi.com/services/hard-drive-degaussing-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/vyttila/printer-recycling-kochi,/locations/vyttila/printer-recycling-kochi/,/locations/vyttila/printer-recycling-kochi,www.ewastekochi.com,1,2,location-service-matrix,vyttila,printer-recycling-kochi,https://www.ewastekochi.com/recycling/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,high
https://www.ewastekochi.com/locations/palakkad/hard-drive-destruction-kochi,/locations/palakkad/hard-drive-destruction-kochi/,/locations/palakkad/hard-drive-destruction-kochi,www.ewastekochi.com,0,6,location-service-matrix,palakkad,hard-drive-destruction-kochi,https://www.ewastekochi.com/data-destruction/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kozhikode/laptop-recycling-near-me,/locations/kozhikode/laptop-recycling-near-me/,/locations/kozhikode/laptop-recycling-near-me,www.ewastekochi.com,0,3,location-service-matrix,kozhikode,laptop-recycling-near-me,https://www.ewastekochi.com/services/electronics-recycling-near-me/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kozhikode/hard-drive-degaussing-kochi,/locations/kozhikode/hard-drive-degaussing-kochi/,/locations/kozhikode/hard-drive-degaussing-kochi,www.ewastekochi.com,0,1,location-service-matrix,kozhikode,hard-drive-degaussing-kochi,https://www.ewastekochi.com/services/hard-drive-degaussing-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/muvattupuzha/server-recycling-kochi,/locations/muvattupuzha/server-recycling-kochi/,/locations/muvattupuzha/server-recycling-kochi,www.ewastekochi.com,0,3,location-service-matrix,muvattupuzha,server-recycling-kochi,https://www.ewastekochi.com/server-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/muvattupuzha/battery-recycling-kochi,/locations/muvattupuzha/battery-recycling-kochi/,/locations/muvattupuzha/battery-recycling-kochi,www.ewastekochi.com,0,2,location-service-matrix,muvattupuzha,battery-recycling-kochi,https://www.ewastekochi.com/battery-recycling/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/willingdon-island/tv-monitor-recycling-kochi,/locations/willingdon-island/tv-monitor-recycling-kochi/,/locations/willingdon-island/tv-monitor-recycling-kochi,www.ewastekochi.com,1,2,location-service-matrix,willingdon-island,tv-monitor-recycling-kochi,https://www.ewastekochi.com/tv-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,high
https://www.ewastekochi.com/locations/muvattupuzha/data-destruction-kochi,/locations/muvattupuzha/data-destruction-kochi/,/locations/muvattupuzha/data-destruction-kochi,www.ewastekochi.com,0,1,location-service-matrix,muvattupuzha,data-destruction-kochi,https://www.ewastekochi.com/data-destruction/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/palakkad/laptop-recycling-near-me,/locations/palakkad/laptop-recycling-near-me/,/locations/palakkad/laptop-recycling-near-me,www.ewastekochi.com,0,1,location-service-matrix,palakkad,laptop-recycling-near-me,https://www.ewastekochi.com/services/electronics-recycling-near-me/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/palakkad/tv-monitor-recycling-kochi,/locations/palakkad/tv-monitor-recycling-kochi/,/locations/palakkad/tv-monitor-recycling-kochi,www.ewastekochi.com,0,1,location-service-matrix,palakkad,tv-monitor-recycling-kochi,https://www.ewastekochi.com/tv-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/palakkad/free-ewaste-pickup-kochi,/locations/palakkad/free-ewaste-pickup-kochi/,/locations/palakkad/free-ewaste-pickup-kochi,www.ewastekochi.com,0,3,location-service-matrix,palakkad,free-ewaste-pickup-kochi,https://www.ewastekochi.com/pickup/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kottayam/laptop-buyback-kochi,/locations/kottayam/laptop-buyback-kochi/,/locations/kottayam/laptop-buyback-kochi,www.ewastekochi.com,0,2,location-service-matrix,kottayam,laptop-buyback-kochi,https://www.ewastekochi.com/sell-electronics/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/thrippunithura/server-recycling-kochi,/locations/thrippunithura/server-recycling-kochi/,/locations/thrippunithura/server-recycling-kochi,www.ewastekochi.com,0,2,location-service-matrix,thrippunithura,server-recycling-kochi,https://www.ewastekochi.com/server-recycling-kochi/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/vyttila/laptop-buyback-kochi,/locations/vyttila/laptop-buyback-kochi/,/locations/vyttila/laptop-buyback-kochi,www.ewastekochi.com,0,2,location-service-matrix,vyttila,laptop-buyback-kochi,https://www.ewastekochi.com/sell-electronics/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/kalamassery/mobile-recycling-kochi,/locations/kalamassery/mobile-recycling-kochi/,/locations/kalamassery/mobile-recycling-kochi,www.ewastekochi.com,0,1,location-service-matrix,kalamassery,mobile-recycling-kochi,https://www.ewastekochi.com/locations/kalamassery/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
https://www.ewastekochi.com/locations/thiruvananthapuram/certificate-of-destruction-kochi,/locations/thiruvananthapuram/certificate-of-destruction-kochi/,/locations/thiruvananthapuram/certificate-of-destruction-kochi,www.ewastekochi.com,0,3,location-service-matrix,thiruvananthapuram,certificate-of-destruction-kochi,https://www.ewastekochi.com/data-destruction-certificate-sample/,true,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low
