url,normalized_url,host,path,clicks,impressions,last_crawled,indexed_status,current_v2_status,page_type,location,service_intent,content_quality_risk,claim_risk,traffic_tier,upgrade_action,target_url,canonical_url,noindex_required,build_required,redirect_required,reason,priority,notes
https://www.ewastekochi.com/blogs/recycling/laptop-recycling-in-kalamassery-kochi-reuse-buyback-or-scrap,/blogs/recycling/laptop-recycling-in-kalamassery-kochi-reuse-buyback-or-scrap,www.ewastekochi.com,/blogs/recycling/laptop-recycling-in-kalamassery-kochi-reuse-buyback-or-scrap,0,10,2026-06-25,404,missing_not_built,blogs-taxonomy-legacy,,laptop-recycling-in-kalamassery-kochi-reuse-buyback-or-scrap,high,low,P4,leave_404,,,false,false,false,Indexed legacy/generated URL has no meaningful traffic signal; do not recreate old pSEO risk.,low,classification_source=rule;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/locations/edappally/certificate-of-destruction-kochi,/locations/edappally/certificate-of-destruction-kochi,www.ewastekochi.com,/locations/edappally/certificate-of-destruction-kochi,0,1,2026-04-25,404|alt_canonical,redirect_configured,location-service-matrix,edappally,certificate-of-destruction-kochi,high,high,P3,redirect_301,https://www.ewastekochi.com/data-destruction-certificate-sample/,https://www.ewastekochi.com/data-destruction-certificate-sample/,false,false,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low,classification_source=v2-redirect;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/locations/thrikkakara/data-destruction-kochi,/locations/thrikkakara/data-destruction-kochi,www.ewastekochi.com,/locations/thrikkakara/data-destruction-kochi,0,6,2026-04-17,404,redirect_configured,location-service-matrix,thrikkakara,data-destruction-kochi,high,medium,P3,redirect_301,https://www.ewastekochi.com/data-destruction/,https://www.ewastekochi.com/data-destruction/,false,false,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,low,classification_source=v2-redirect;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/marketplace,/marketplace,www.ewastekochi.com,/marketplace,66,2247,2026-06-29,redirect,built_200,other-legacy-service,,marketplace,high,low,P0,upgrade_existing_200,https://www.ewastekochi.com/marketplace/,https://www.ewastekochi.com/marketplace/,false,false,false,Indexed URL maps to an existing V2 200 page; page retained and reviewed for safe SEO/content/schema.,critical,classification_source=v2-live;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/locations/aluva/certificate-of-destruction-kochi,/locations/aluva/certificate-of-destruction-kochi,www.ewastekochi.com,/locations/aluva/certificate-of-destruction-kochi,0,0,2026-06-26,redirect,missing_not_built,location-service-matrix,aluva,certificate-of-destruction-kochi,high,high,P3,leave_404,,,false,false,false,Indexed legacy/generated URL has no meaningful traffic signal; do not recreate old pSEO risk.,low,classification_source=rule;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/services,/services,www.ewastekochi.com,/services,0,29,2026-06-23,redirect,built_200,other-legacy-service,,services,high,low,P4,upgrade_existing_200,https://www.ewastekochi.com/services/,https://www.ewastekochi.com/services/,false,false,false,Indexed URL maps to an existing V2 200 page; page retained and reviewed for safe SEO/content/schema.,low,classification_source=v2-live;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/locations,/locations,www.ewastekochi.com,/locations,2,63,2026-06-23,redirect,built_200,other-legacy-service,,locations,high,low,P1,upgrade_existing_200,https://www.ewastekochi.com/locations/,https://www.ewastekochi.com/locations/,false,false,false,Indexed URL maps to an existing V2 200 page; page retained and reviewed for safe SEO/content/schema.,high,classification_source=v2-live;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/locations/thrissur,/locations/thrissur,www.ewastekochi.com,/locations/thrissur,8,271,2026-06-17,redirect,built_200,location-page,thrissur,thrissur,low,low,P1,build_safe_200,https://www.ewastekochi.com/locations/thrissur/,https://www.ewastekochi.com/locations/thrissur/,false,true,false,Indexed location URL is business-relevant; protected with a safe feasibility-focused 200 page.,high,classification_source=rule;confirmed_indexed_2026-07-10;built_2026-07-15
https://www.ewastekochi.com/locations/kozhikode/e-waste-recycling-kochi,/locations/kozhikode/e-waste-recycling-kochi,www.ewastekochi.com,/locations/kozhikode/e-waste-recycling-kochi,1,26,2026-06-15,redirect,redirect_configured,location-service-matrix,kozhikode,e-waste-recycling-kochi,high,medium,P1,redirect_301,https://www.ewastekochi.com/recycling/,https://www.ewastekochi.com/recycling/,false,false,true,Indexed legacy URL has a relevant one-hop 301 target in vercel.json; do not rebuild as a thin page.,high,classification_source=v2-redirect;confirmed_indexed_2026-07-10
https://www.ewastekochi.com/locations/fort-kochi,/locations/fort-kochi,www.ewastekochi.com,/locations/fort-kochi,3,38,2026-06-14,redirect,built_200,location-page,fort-kochi,fort-kochi,low,low,P1,build_safe_200,https://www.ewastekochi.com/locations/fort-kochi/,https://www.ewastekochi.com/locations/fort-kochi/,false,true,false,Indexed location URL is business-relevant; protected with a safe feasibility-focused 200 page.,high,classification_source=rule;confirmed_indexed_2026-07-10
