source,target,clicks,impressions,reason,status
/blogs/disposal,(see vercel.json),2,49,Already implemented as a redirect in vercel.json.,already_implemented
/blogs,(see vercel.json),1,26,Already implemented as a redirect in vercel.json.,already_implemented
/sell-electronics-kochi,/sell-electronics/,6,116,Clean keyword match to an existing V2 service page (6 clicks / 116 impressions).,proposed_new
/locations/edappally/certificate-of-destruction-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrikkakara/data-destruction-kochi,(see vercel.json),0,6,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kottayam/e-waste-recycling-kochi,(see vercel.json),0,15,Already implemented as a redirect in vercel.json.,already_implemented
/locations/edappally/e-waste-recycling-kochi,(see vercel.json),1,18,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kakkanad/ups-inverter-recycling-kochi,(see vercel.json),0,4,Already implemented as a redirect in vercel.json.,already_implemented
/services/tv-monitor-recycling-kochi,/tv-recycling-kochi/,1,22,Clean keyword match to an existing V2 service page (1 clicks / 22 impressions).,proposed_new
/services/free-ewaste-pickup-kochi,/pickup/,1,20,Clean keyword match to an existing V2 service page (1 clicks / 20 impressions).,proposed_new
/locations/smart-city-kochi/itad-kochi,(see vercel.json),2,7,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrippunithura/corporate-ewaste-kochi,(see vercel.json),1,9,Already implemented as a redirect in vercel.json.,already_implemented
/locations/smart-city-kochi/data-destruction-kochi,(see vercel.json),0,2,Already implemented as a redirect in vercel.json.,already_implemented
/locations/smart-city-kochi/tv-monitor-recycling-kochi,(see vercel.json),0,3,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrippunithura/e-waste-recycling-kochi,(see vercel.json),4,16,Already implemented as a redirect in vercel.json.,already_implemented
/locations/vyttila/free-ewaste-pickup-kochi,(see vercel.json),0,4,Already implemented as a redirect in vercel.json.,already_implemented
/locations/ernakulam-south/tv-monitor-recycling-kochi,(see vercel.json),0,7,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kozhikode/free-ewaste-pickup-kochi,(see vercel.json),0,7,Already implemented as a redirect in vercel.json.,already_implemented
/locations/smart-city-kochi/hard-drive-shredding-kochi,(see vercel.json),0,2,Already implemented as a redirect in vercel.json.,already_implemented
/locations/infopark-kochi/corporate-ewaste-kochi,(see vercel.json),1,4,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrissur/itad-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/fort-kochi/tv-monitor-recycling-kochi,(see vercel.json),0,3,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalamassery/battery-recycling-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalamassery/e-waste-recycling-kochi,(see vercel.json),0,5,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalamassery/electronic-waste-disposal,(see vercel.json),3,22,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalady/free-ewaste-pickup-kochi,(see vercel.json),0,4,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalady/ups-inverter-recycling-kochi,(see vercel.json),0,5,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thiruvananthapuram/ups-inverter-recycling-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kakkanad/electronics-recycling-near-me,(see vercel.json),0,17,Already implemented as a redirect in vercel.json.,already_implemented
/locations/angamaly/itad-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kadavanthra/data-destruction-kochi,(see vercel.json),0,9,Already implemented as a redirect in vercel.json.,already_implemented
/services/battery-recycling-kochi,(see vercel.json),5,400,Already implemented as a redirect in vercel.json.,already_implemented
/locations/edappally/server-recycling-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thiruvananthapuram/itad-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/aluva/server-recycling-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalamassery/free-ewaste-pickup-kochi,(see vercel.json),3,21,Already implemented as a redirect in vercel.json.,already_implemented
/locations/perumbavoor/laptop-buyback-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/angamaly/server-recycling-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/perumbavoor/free-ewaste-pickup-kochi,(see vercel.json),0,2,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kadavanthra/corporate-ewaste-kochi,(see vercel.json),1,11,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kadavanthra/itad-kochi,(see vercel.json),0,3,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kadavanthra/sell-electronics-kochi,(see vercel.json),2,46,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kalady/tv-monitor-recycling-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/vyttila/certificate-of-destruction-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/palarivattom/ups-inverter-recycling-kochi,(see vercel.json),0,4,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kothamangalam/e-waste-recycling-kochi,(see vercel.json),0,10,Already implemented as a redirect in vercel.json.,already_implemented
/locations/aluva/data-destruction-kochi,(see vercel.json),0,3,Already implemented as a redirect in vercel.json.,already_implemented
/locations/aluva/free-ewaste-pickup-kochi,(see vercel.json),1,15,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrikkakara/battery-recycling-kochi,(see vercel.json),0,3,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrikkakara/free-ewaste-pickup-kochi,(see vercel.json),0,31,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kakkanad/corporate-ewaste-kochi,(see vercel.json),2,16,Already implemented as a redirect in vercel.json.,already_implemented
/locations/palakkad/electronic-waste-disposal,(see vercel.json),1,32,Already implemented as a redirect in vercel.json.,already_implemented
/locations/aluva/laptop-buyback-kochi,(see vercel.json),1,5,Already implemented as a redirect in vercel.json.,already_implemented
/locations/angamaly/battery-recycling-kochi,(see vercel.json),0,2,Already implemented as a redirect in vercel.json.,already_implemented
/locations/angamaly/e-waste-recycling-kochi,(see vercel.json),0,5,Already implemented as a redirect in vercel.json.,already_implemented
/locations/thrissur/laptop-buyback-kochi,(see vercel.json),0,3,Already implemented as a redirect in vercel.json.,already_implemented
/locations/fort-kochi/data-destruction-kochi,(see vercel.json),0,8,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kannur/certificate-of-destruction-kochi,(see vercel.json),0,4,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kannur/free-ewaste-pickup-kochi,(see vercel.json),0,7,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kannur/laptop-buyback-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/ernakulam-south/dpdp-act-compliance-kochi,(see vercel.json),0,2,Already implemented as a redirect in vercel.json.,already_implemented
/locations/palarivattom/free-ewaste-pickup-kochi,(see vercel.json),0,14,Already implemented as a redirect in vercel.json.,already_implemented
/services/e-waste-recycling-kochi,(see vercel.json),2,193,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kozhikode/sell-old-electronics,(see vercel.json),1,27,Already implemented as a redirect in vercel.json.,already_implemented
/locations/angamaly/free-ewaste-pickup-kochi,(see vercel.json),1,10,Already implemented as a redirect in vercel.json.,already_implemented
/locations/angamaly/ups-inverter-recycling-kochi,(see vercel.json),0,5,Already implemented as a redirect in vercel.json.,already_implemented
/locations/aluva/e-waste-recycling-kochi,(see vercel.json),0,20,Already implemented as a redirect in vercel.json.,already_implemented
/locations/aluva/ups-inverter-recycling-kochi,(see vercel.json),0,6,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kollam/battery-recycling-kochi,(see vercel.json),1,47,Already implemented as a redirect in vercel.json.,already_implemented
/locations/kollam/free-ewaste-pickup-kochi,(see vercel.json),0,1,Already implemented as a redirect in vercel.json.,already_implemented
/locations/ernakulam-south/data-destruction-kochi,(see vercel.json),1,16,Already implemented as a redirect in vercel.json.,already_implemented
