url,issue_type,current_status,clicks,impressions,old_or_new,action,target_url,reason,priority
https://www.ewastekochi.com/,Excluded by noindex tag,200,124,1421,old_alert_now_v2_live,fixed_by_v2_cutover,https://www.ewastekochi.com/,Old noindex alert is pre-cutover; live V2 is indexable or canonicalized.,P0
https://www.ewastekochi.com/index.html,Excluded by noindex tag,200,0,0,old_alert_now_v2_live,redirect_301,https://www.ewastekochi.com/,Now duplicate live homepage path; redirect to canonical /.,P3
https://ewastekochi.com/,Excluded by noindex tag,308,141,2970,old_alert_now_v2_live,fixed_by_v2_cutover,https://www.ewastekochi.com/,Old noindex alert is pre-cutover; live V2 is indexable or canonicalized.,P0
https://ewastekochi.com/index.html,Excluded by noindex tag,308,0,0,old_alert_now_v2_live,redirect_301,https://www.ewastekochi.com/,Now duplicate live homepage path; redirect to canonical /.,P3
https://www.ewastekochi.com/?q=%7Bsearch_term_string%7D,Excluded by noindex tag,200,0,0,old_alert_now_v2_live,fixed_by_v2_cutover,https://www.ewastekochi.com/?q=%7Bsearch_term_string%7D,Old noindex alert is pre-cutover; live V2 is indexable or canonicalized.,P0
https://www.ewastekochi.com/blog/cable-recycling-options-in-kakkanad-which-to-choose-kakkanad/,Not found (404),404,0,4,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/disposal/corporate-e-waste-clearance-checklist-for-kottayam/,Not found (404),404,0,3,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/laptop-disposal/laptop-resale-value-in-thiruvananthapuram-what-changes-the-price-fast/,Not found (404),404,0,2,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blog/kspcb-regulations-for-it-asset-disposition-in-thrippunithura-thrippunithura-1/,Not found (404),404,0,1,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/government-rules/how-to-choose-an-authorized-e-waste-vendor-in-kalamassery-kochi/,Not found (404),404,0,1,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blog/troubleshooting-server-recycling-in-kalamassery-kalamassery/,Not found (404),404,0,7,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://www.ewastekochi.com/blogs/environmental-impact/precious-metal-recovery-from-e-waste-in-edappally-kochi/,Not found (404),404,0,0,old_url,leave_404,,Old generated URL with no available traffic signal in current maps; do not recreate thin content.,P3
https://ewastekochi.com/hi/services/laptop-buyback-kochi/,Not found (404),308,0,9,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/hi/services/laptop-buyback-kochi/,Now redirects under V2.,P3
https://ewastekochi.com/blogs/recycling/how-electronics-recycling-works-in-thiruvananthapuram/,Not found (404),308,0,54,old_url,fixed_by_v2_cutover,https://www.ewastekochi.com/blogs/recycling/how-electronics-recycling-works-in-thiruvananthapuram/,Now redirects under V2.,P3
